"PUID","Format Name","Format Version","Format Risk","Extension"
"x-fmt/37","AutoCAD Colour-Dependant Plot Style Table","","","ctb,"
"fmt/1359","Softdisk Text Compressor","","","ctx,"
"fmt/1069","Cue Sheet","","","cue,"
"fmt/385","Microsoft Windows Cursor","","","cur,"
"x-fmt/38","AutoCAD Custom Dictionary","","","cus,"
"x-fmt/316","Dr Halo Bitmap","","","cut,"
"fmt/1212","HP System Software Manager CVA File","","","cva,"
"fmt/751","AppleWorks Database","6","","cwk,"
"fmt/748","AppleWorks Drawing","6","","cwk,"
"fmt/752","AppleWorks Painting","6","","cwk,"
"fmt/753","AppleWorks Presentation","6","","cwk,"
"fmt/750","AppleWorks Spreadsheet","6","","cwk,"
"fmt/749","AppleWorks Word Processor","6","","cwk,"
"fmt/736","ClarisWorks","1 (generic)","","cwk,"
"fmt/737","ClarisWorks","2-3 (generic)","","cwk,"
"fmt/848","ClarisWorks Database","2-3","","cwk,"
"fmt/741","ClarisWorks Database","4","","cwk,"
"fmt/845","ClarisWorks Drawing","2-3","","cwk,"
"fmt/738","ClarisWorks Drawing","4","","cwk,"
"fmt/849","ClarisWorks Painting","2-3","","cwk,"
"fmt/742","ClarisWorks Painting","4","","cwk,"
"fmt/847","ClarisWorks Spreadsheet","2-3","","cwk,"
"fmt/740","ClarisWorks Spreadsheet","4","","cwk,"
"fmt/846","ClarisWorks Word Processor","2-3","","cwk,"
"fmt/739","ClarisWorks Word Processor","4","","cwk,"
"fmt/746","ClarisWorks/AppleWorks Database","5","","cwk,"
"fmt/743","ClarisWorks/AppleWorks Drawing","5","","cwk,"
"fmt/747","ClarisWorks/AppleWorks Painting","5","","cwk,"
"fmt/745","ClarisWorks/AppleWorks Spreadsheet","5","","cwk,"
"fmt/744","ClarisWorks/AppleWorks Word Processor","5","","cwk,"
"fmt/1143","ZISRAW (CZI) File Format","","","czi,"
"fmt/1209","COLLADA Digital Asset Exchange (DAE)","","","dae,"
"fmt/819","CD-ROM/XA (eXtended Architecture)","","","dat,"
"fmt/1730","Data File","Generic","","dat,"
"fmt/1594","ESRI ArcInfo DAT File (External)","","","dat,"
"fmt/1228","NMRPipe","","","dat,pipe,ft2,ft3,"
"fmt/1715","Applet Effect Factory Config File","","","data,"
"fmt/1851","DAV Video Format","","","dav,"
"fmt/350","Paradox Database Table","3.0","","db,"
"fmt/351","Paradox Database Table","4.0","","db,"
"fmt/352","Paradox Database Table","5.0","","db,"
"x-fmt/147","Paradox Database Table","7","","db,"
"fmt/682","Thumbs DB file","XP","","db,"
"fmt/382","Microsoft Visual FoxPro database container (table files)","","","dbc,"
"x-fmt/8","dBASE Database","II","","dbf,"
"x-fmt/9","dBASE Database","III","","dbf,"
"x-fmt/271","dBASE Database","III+","","dbf,"
"x-fmt/10","dBASE Database","IV","","dbf,"
"x-fmt/272","dBASE Database","V","","dbf,"
"x-fmt/380","dBASE for Windows database","5.0","","dbf,"
"x-fmt/6","FoxPro Database","2.0","","dbf,"
"x-fmt/7","FoxPro Database","2.5","","dbf,"
"fmt/373","FoxPro Database","2.x","","dbf,"
"x-fmt/242","Microsoft FoxPro Database","2.6","","dbf,"
"fmt/374","Microsoft Visual FoxPro Database Table File","","","dbf,"
"fmt/1365","Debug File","","","dbg,"
"x-fmt/39","AutoCAD dbConnect Query Set","","","dbq,"
"x-fmt/307","Paradox Database Memo Field (Binary Large Object)","","","dbq,mb,"
"x-fmt/40","AutoCAD dbConnect Template Set","","","dbt,"
"x-fmt/311","dBASE Text Memo","","","dbt,"
"x-fmt/343","Microsoft Visual FoxPro Table","","","dbx,"
"fmt/839","Outlook Express Folder Database","","","dbx,"
"fmt/838","Outlook Express Message Database","","","dbx,"
"x-fmt/312","DesignCAD Drawing","","","dc2,dc,"
"x-fmt/148","IBM DisplayWrite DCA Text File","","","dca,"
"fmt/574","Digital Imaging and Communications in Medicine File Format","","","dcm,"
"fmt/192","Kodak Digital Camera Raw Image File","","","dcr,"
"fmt/486","Macromedia (Adobe) Director Compressed Resource file","","","dcr,"
"x-fmt/149","Desktop Color Separation File","","","dcs,"
"fmt/384","Microsoft Visual FoxPro database container (memo files)","","","dct,"
"fmt/1280","NCH Dictation Audio File","","","dct,"
"fmt/1909","TibetDoc Word Document","","","dct,"
"x-fmt/348","Multipage Zsoft Paintbrush Bitmap Graphics","","","dcx,"
"x-fmt/150","Visual FoxPro Database Container File","","","dcx,"
"fmt/114","Windows Bitmap","1.0","","ddb,bmp,"
"fmt/457","Verity Collection Document Dataset Descriptor Style Set","","","ddd,"
"fmt/1231","DIGIDOC-XML","1.1","","ddoc,"
"fmt/1232","DIGIDOC-XML","1.2","","ddoc,"
"fmt/1233","DIGIDOC-XML","1.3","","ddoc,"
"fmt/1230","SK-XML","1.0","","ddoc,"
"fmt/1040","DirectDraw Surface","","","dds,"
"fmt/1163","Folio Definition File","","","def,"
"x-fmt/369","Vista Pro Graphics","","","dem,"
"fmt/1592","ASEG-GDF2 Description File","","","des,"
"fmt/694","Dalvik Executable Format","","","dex,"
"fmt/1818","Direct Stream Digital Interchange File Format","","","dff,"
"fmt/1593","ASEG-GDF2- Data Definition File","","","dfn,"
"fmt/502","Bentley V8 DGN","","","dgn,"
"x-fmt/346","Microstation CAD Drawing","95","","dgn,"
"x-fmt/381","Dia Graphics Format","","","dia,"
"fmt/116","Windows Bitmap","3.0","","dib,bmp,"
"fmt/117","Windows Bitmap","3.0 NT","","dib,bmp,"
"x-fmt/132","Speller Custom Dictionary","","","dic,"
"x-fmt/133","Speller Exclude Dictionary","","","dic,"
"fmt/458","Verity Collection Document Index Descriptor Style Set","","","did,"
"x-fmt/41","Data Interchange Format","","","dif,"
"x-fmt/368","VisiCalc Database","","","dif,"
"fmt/317","Macromedia Director","Macintosh","","dir,dxr,"
"x-fmt/341","Macromedia Director","PC","","dir,dxr,"
"fmt/255","DjVu File Format","","","djvu,djv,"
"fmt/318","Secure DjVU","","","djvu,djv,"
"fmt/955","Downloadable Sounds Audio","","","dls,"
"fmt/1131","Gatan Digital Micrograph File Format (DM3)","3","","dm3,"
"fmt/1071","Apple Disk Image","","","dmg,"
"fmt/625","Apple Disk Copy Image","4.2","","dmg,smi,img,image,"
"fmt/1456","Autocad DMP File","","","dmp,"
"fmt/436","Digital Negative Format (DNG)","1.0","","dng,"
"fmt/437","Digital Negative Format (DNG)","1.2","","dng,"
"fmt/438","Digital Negative Format (DNG)","1.3","","dng,"
"fmt/730","Digital Negative Format (DNG)","1.4","","dng,"
"fmt/1841","Digital Negative Format (DNG)","1.5","","dng,"
"fmt/1842","Digital Negative Format (DNG)","1.6","","dng,"
"fmt/1943","Digital Negative Format (DNG)","1.7","","dng,"
"fmt/152","Digital Negative Format (DNG)","1.1","","dng,tif,tiff,"
"fmt/1598","Stata .do Command File","","","do,"
"x-fmt/329","Interleaf Document","","","doc,"
"fmt/609","Microsoft Word (Generic)","6.0-2003","","doc,"
"fmt/39","Microsoft Word Document","6.0/95","","doc,"
"x-fmt/274","Microsoft Word for MS-DOS Document","1.x - 4.0","","doc,"
"x-fmt/275","Microsoft Word for MS-DOS Document","5.0 - 5.4","","doc,"
"x-fmt/276","Microsoft Word for MS-DOS Document","5.5","","doc,"
"fmt/1688","Microsoft Word for MS-DOS Document","6.0","","doc,"
"fmt/37","Microsoft Word for Windows Document","1.0","","doc,"
"fmt/38","Microsoft Word for Windows Document","2.0","","doc,"
"fmt/1282","PFS:First Choice Document","1-2","","doc,"
"fmt/1283","PFS:First Choice Document","3","","doc,"
"x-fmt/131","Stationery for Mac OS X","","","doc,"
"x-fmt/42","Wordperfect Secondary File","5.0","","doc,"
"x-fmt/43","Wordperfect Secondary File","5.1/5.2","","doc,"
"fmt/473","Microsoft Office Owner File","","","doc,docx,"
"fmt/40","Microsoft Word Document","97-2003","","doc,wbk,"
"x-fmt/44","WordPerfect for MS-DOS/Windows Document","6.x","","doc,wpd,wp6,wp,w60,w61,w62,"
"fmt/523","Macro enabled Microsoft Word Document OOXML","2007 Onwards","","docm,"
"fmt/1827","DOCX Strict OOXML Document","2007 onwards","","docx,"
"fmt/412","Microsoft Word for Windows","2007 onwards","","docx,wbk,"
"x-fmt/45","Microsoft Word Document Template","97-2003","","dot,"
"fmt/755","Microsoft Word Document Template (Password Protected)","97-2003","","dot,"
"fmt/599","Microsoft Word Macro-Enabled Document Template","2007 onwards","","dotm,"
"fmt/597","Microsoft Word Template","2007 onwards","","dotx,"
"x-fmt/347","MultiMate Text File","4.x","","dox,"
"fmt/827","Serif DrawPlus Drawing","3","","dpp,"
"fmt/852","Serif DrawPlus Drawing","4","","dpp,"
"fmt/853","Serif DrawPlus Drawing","5","","dpp,"
"fmt/1528","Serif DrawPlus Drawing","Generic","","dpp,dpa,"
"fmt/1519","Serif DrawPlus Drawing","6","","dpp,dpa,dpx,"
"fmt/1520","Serif DrawPlus Drawing","7","","dpp,dpa,dpx,"
"fmt/1521","Serif DrawPlus Drawing","8","","dpp,dpa,dpx,"
"fmt/1522","Serif DrawPlus Drawing","X2","","dpp,dpa,dpx,"
"fmt/1523","Serif DrawPlus Drawing","X3","","dpp,dpa,dpx,"
"fmt/1524","Serif DrawPlus Drawing","X4","","dpp,dpa,dpx,"
"fmt/1525","Serif DrawPlus Drawing","X5","","dpp,dpa,dpx,"
"fmt/1526","Serif DrawPlus Drawing","X6","","dpp,dpa,dpx,"
"fmt/1527","Serif DrawPlus Drawing","X8","","dpp,dpa,dpx,"
"fmt/193","Digital Moving Picture Exchange Bitmap","1.0","","dpx,"
"fmt/541","Digital Moving Picture Exchange Bitmap","2.0","","dpx,"
"x-fmt/46","Microsoft Excel ODBC Query","","","dqy,"
"fmt/1046","Draco File Format","","","drc,"
"x-fmt/296","Micrografx Designer","3.1","","drw,"
"x-fmt/47","Micrografx Draw","1-2","","drw,"
"x-fmt/294","Micrografx Draw","3.0","","drw,"
"x-fmt/295","Micrografx Draw","4.0","","drw,drt,"
"fmt/394","DS_store file (MAC)","","","ds_store,"
"fmt/1008","DSS Pro","","","ds2,"
"fmt/1817","Direct Stream Digital Stream File","","","dsf,"
"x-fmt/151","Micrografx Designer","","","dsf,"
"fmt/1007","Digital Speech Standard","","","dss,"
"fmt/360","pulse EKKO data file","","","dt1,"
"fmt/1029","Stata Data (DTA) Format","104","","dta,"
"fmt/1030","Stata Data (DTA) Format","105","","dta,"
"fmt/1031","Stata Data (DTA) Format","110","","dta,"
"fmt/1032","Stata Data (DTA) Format","111","","dta,"
"fmt/1033","Stata Data (DTA) Format","113","","dta,"
"fmt/1034","Stata Data (DTA) Format","114","","dta,"
"fmt/1035","Stata Data (DTA) Format","115","","dta,"
"fmt/1036","Stata Data (DTA) Format","117","","dta,"
"fmt/1037","Stata Data (DTA) Format","118","","dta,"
"fmt/1617","Devicetree Blob (DTB)","17","","dtb,"
"x-fmt/315","Document Type Definition","","","dtd,"
"x-fmt/314","Digital Terrain Elevation Data","","","dted,dt0,dt1,dt2,avg,min,max,"
"fmt/1415","GST Publisher File","1","","dtp,"
"fmt/1416","GST Publisher File","2","","dtp,"
"fmt/973","DTS Coherent Acoustics (DCA) Audio","","","dts,"
"x-fmt/152","Digital Video","","","dv,"
"x-fmt/48","Visual Basic Macro","","","dvb,"
"fmt/1891","Digital Voice File (DVF)","TRC Codec","","dvf,"
"x-fmt/365","TeX Binary File","","","dvi,"
"fmt/160","TeX/LaTeX Device Independent Document","","","dvi,"
"x-fmt/313","DesignCAD for Windows Drawing","","","dw2,"
"fmt/1381","VariCAD Drawing","7+","","dwb,"
"x-fmt/49","AutoCAD Design Web Format","6.0","","dwf,"
"fmt/977","AutoCAD Design Web Format(DWFx)","","","dwfx,"
"fmt/21","AutoCAD Drawing","1.0","","dwg,"
"fmt/22","AutoCAD Drawing","1.2","","dwg,"
"fmt/23","AutoCAD Drawing","1.3","","dwg,"
"fmt/24","AutoCAD Drawing","1.4","","dwg,"
"fmt/25","AutoCAD Drawing","2.0","","dwg,"
"fmt/26","AutoCAD Drawing","2.1","","dwg,"
"fmt/27","AutoCAD Drawing","2.2","","dwg,"
"fmt/28","AutoCAD Drawing","2.5","","dwg,"
"fmt/29","AutoCAD Drawing","2.6","","dwg,"
"fmt/35","AutoCAD Drawing","2000-2002","","dwg,"
"fmt/36","AutoCAD Drawing","2004-2005","","dwg,"
"x-fmt/455","AutoCAD Drawing","2007-2008","","dwg,"
"fmt/434","AutoCAD Drawing","2010/2011/2012","","dwg,"
"fmt/531","AutoCAD Drawing","2013/2014","","dwg,"
"fmt/1395","AutoCAD Drawing","2018/2019/2020/2021","","dwg,"
"fmt/31","AutoCAD Drawing","R10","","dwg,"
"fmt/32","AutoCAD Drawing","R11/12","","dwg,"
"fmt/33","AutoCAD Drawing","R13","","dwg,"
"fmt/34","AutoCAD Drawing","R14","","dwg,"
"fmt/30","AutoCAD Drawing","R9","","dwg,"
"x-fmt/441","AutoCAD Database File Locking Information","","","dwl,"
"x-fmt/50","AutoCAD Drawing Standards File","","","dws,"
"x-fmt/51","AutoCAD Drawing Template","","","dwt,"
"x-fmt/286","DEC Data Exchange File","","","dx,"
"fmt/54","Drawing Interchange Binary Format","1.0","","dxb,"
"fmt/64","Drawing Interchange File Format (ASCII)","1.0","","dxf,"
"fmt/65","Drawing Interchange File Format (ASCII)","1.2","","dxf,"
"fmt/66","Drawing Interchange File Format (ASCII)","1.3","","dxf,"
"fmt/67","Drawing Interchange File Format (ASCII)","1.4","","dxf,"
"fmt/68","Drawing Interchange File Format (ASCII)","2.0","","dxf,"
"fmt/69","Drawing Interchange File Format (ASCII)","2.1","","dxf,"
"fmt/70","Drawing Interchange File Format (ASCII)","2.2","","dxf,"
"fmt/71","Drawing Interchange File Format (ASCII)","2.5","","dxf,"
"fmt/72","Drawing Interchange File Format (ASCII)","2.6","","dxf,"
"fmt/78","Drawing Interchange File Format (ASCII)","2000-2002","","dxf,"
"fmt/79","Drawing Interchange File Format (ASCII)","2004/2005/2006","","dxf,"
"fmt/433","Drawing Interchange File Format (ASCII)","2007/2008/2009","","dxf,"
"fmt/435","Drawing Interchange File Format (ASCII)","2010/2011/2012","","dxf,"
"fmt/532","Drawing Interchange File Format (ASCII)","2013/2014/2015/2016/2017","","dxf,"
"fmt/63","Drawing Interchange File Format (ASCII)","Generic","","dxf,"
"fmt/74","Drawing Interchange File Format (ASCII)","R10","","dxf,"
"fmt/75","Drawing Interchange File Format (ASCII)","R11/12","","dxf,"
"fmt/76","Drawing Interchange File Format (ASCII)","R13","","dxf,"
"fmt/77","Drawing Interchange File Format (ASCII)","R14","","dxf,"
"fmt/73","Drawing Interchange File Format (ASCII)","R9","","dxf,"
"fmt/84","Drawing Interchange File Format (Binary)","2000-2002","","dxf,"
"fmt/85","Drawing Interchange File Format (Binary)","2004-2006","","dxf,"
"fmt/80","Drawing Interchange File Format (Binary)","R10","","dxf,"
"fmt/81","Drawing Interchange File Format (Binary)","R11/12","","dxf,"
"fmt/82","Drawing Interchange File Format (Binary)","R13","","dxf,"
"fmt/83","Drawing Interchange File Format (Binary)","R14","","dxf,"
"fmt/1389","Drawing Interchange Format (ASCII)","2018/2019/2020","","dxf,"
"fmt/1390","Drawing Interchange Format (Binary)","2007-2009","","dxf,"
"fmt/1391","Drawing Interchange Format (Binary)","2010-2012","","dxf,"
"fmt/1392","Drawing Interchange Format (Binary)","2013-2017","","dxf,"
"fmt/1393","Drawing Interchange Format (Binary)","2018-2021","","dxf,"
"fmt/1394","Drawing Interchange Format (Binary)","Generic","","dxf,"
"fmt/572","Domino XML Database Export","","","dxl,"
"fmt/571","Domino XML Document Export","","","dxl,"
"x-fmt/52","Drawing Interchange Format Style Extract","","","dxx,"
"fmt/362","GSSI SIR-10 RADAN data file","","","dzt,"
"x-fmt/226","ESRI Arc/Info Export File","","","e00,x00,e01,e02,e03,e04,e05,e06,e07,e08,e09,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,"
"fmt/803","Encase Image File/Expert Witness Compression File","","","e01,"
"fmt/643","ASTM E57 3D File Format","","","e57,"
"fmt/1543","ELAN Annotation File","","","eaf,"
"fmt/159","EBCDIC-US","","","ebcdic,"
"fmt/1235","EclipseCrossword Puzzle File","","","ecw,"
"fmt/371","Enhanced Compression Wavelet","","","ecw,"
"fmt/1251","Electronically Certified Document (EDOC)","","","edoc,"
"fmt/1292","EIOffice Document","","","eio,"
"fmt/1856","Enhanced Image Package","","","eip,"
"fmt/689","Executable and Linkable Format","32bit Big Endian","","elf,o,"
"fmt/688","Executable and Linkable Format","32bit Little Endian","","elf,o,"
"fmt/691","Executable and Linkable Format","64bit Big Endian","","elf,o,"
"fmt/690","Executable and Linkable Format","64bit Little Endian","","elf,o,"
"x-fmt/153","Microsoft Windows Enhanced Metafile","1.0","","emf,"
"fmt/344","Microsoft Windows Enhanced Metafile","2.0","","emf,"
"fmt/345","Microsoft Windows Enhanced Metafile","3.0","","emf,"
"fmt/278","Internet Message Format","","","eml,"
"fmt/950","MIME Email","1.0","","eml,"
"fmt/327","EndNote Filter File","","","enf,"
"fmt/325","EndNote Library","1-9","","enl,"
"fmt/1684","EndNote Library","20","","enl,"
"fmt/1682","EndNote Library","X - X9","","enl,"
"fmt/1685","EndNote Compressed Library","20","","enlx,"
"fmt/1683","EndNote Compressed Library","X - X9","","enlx,"
"fmt/324","EndNote Style File","","","ens,"
"fmt/1618","SGML/XML Entity File","","","ent,"
"fmt/328","EndNote Import File","","","enw,enr,"
"fmt/326","EndNote Connection File","","","enz,"
"fmt/1382","Embedded OpenType (EOT) File Format","0x00010000","","eot,"
"fmt/1383","Embedded OpenType (EOT) File Format","0x00020001","","eot,"
"fmt/1384","Embedded OpenType (EOT) File Format","0x00020002","","eot,"
"fmt/122","Encapsulated PostScript File Format","1.2","","eps,epsf,"
"fmt/123","Encapsulated PostScript File Format","2.0","","eps,epsf,"
"fmt/1884","Encapsulated PostScript File Format","2.1","","eps,epsf,"
"fmt/124","Encapsulated PostScript File Format","3","","eps,epsf,ps,"
"fmt/483","ePub format","","","epub,"
"fmt/641","Epson Raw Image Format","","","erf,"
"fmt/1369","Error File","","","err,"
"fmt/372","Earth Resource Satellite Image Header Format","","","ers,"
"fmt/398","Enigma Transportable File (Finale)","","","etf,"
"fmt/1580","Envision Publisher File","","","evp,"
"fmt/1286","Envoy Document File","1","","evy,"
"fmt/1287","Envoy Document File","7","","evy,"
"fmt/1236","EclipseCrossword Word List File","","","ewl,"
"fmt/1466","InstallShield Executable","","","ex_,"
"fmt/1090","Exclude File","","","exclude,"
"x-fmt/409","MS-DOS Executable","","","exe,"
"x-fmt/410","Windows New Executable","","","exe,"
"x-fmt/411","Windows Portable Executable","","","exe,dll,sys,"
"fmt/899","Windows Portable Executable","32 bit","","exe,dll,sys,"
"fmt/900","Windows Portable Executable","64 bit","","exe,dll,sys,"
"fmt/1001","OpenEXR","2","","exr,"
"fmt/1889","Open Access III Document","III","","ext,"
"fmt/981","EazyDraw File Format","","","ezdraw,"
"fmt/879","Fortran","","","f90,f95,f03,f,for,"
"fmt/723","Farandole Composer Module","","","far,"
"fmt/1010","FBX (Filmbox) Text","","","fbx,"
"fmt/1409","Flow Charting","5","","fc5,"
"fmt/1407","Flow Charting","3","","fcd,"
"fmt/1737","Flow Cytometry Standard File","1.0-3.1","","fcs,"
"fmt/1410","Flow Charting","6","","fcx,"
"fmt/1345","Legacy Family Tree Database","3-9","","fdb,"
"fmt/1500","Adobe Acrobat Forms Data Format","1.x","","fdf,"
"fmt/964","Final Draft Document","5-7","","fdr,"
"fmt/1845","Final Draft Document","8","","fdx,"
"fmt/889","Feather","","","feather,"
"fmt/1133","Farbfeld Image Format","","","ff,"
"fmt/1162","Folio Flat File","","","fff,"
"x-fmt/284","IBM DisplayWrite Final Form Text File","","","fft,"
"fmt/547","Macromedia FreeHand","10","","fh10,"
"fmt/400","Macromedia FreeHand MX","11","","fh11,"
"x-fmt/303","Aldus Freehand Drawing","3","","fh3,"
"x-fmt/304","Aldus Freehand Drawing","4","","fh4,"
"x-fmt/53","Macromedia Freehand","4 & 5","","fh5,fh4,"
"fmt/544","Macromedia FreeHand","7","","fh7,"
"fmt/545","Macromedia FreeHand","8","","fh8,"
"fmt/546","Macromedia FreeHand","9","","fh9,"
"x-fmt/320","Fractal Image","","","fif,"
"fmt/1651","Garmin Flexible and Interoperable Data Transfer File","","","fit,"
"x-fmt/383","Flexible Image Transport System","","","fits,"
"fmt/279","FLAC (Free Lossless Audio Codec)","1.2.1","","flac,"
"fmt/298","Autodesk Animator Pro FLIC","","","flc,"
"fmt/1799","FLExText Interlinear XML Format","","","flextext,"
"fmt/299","Autodesk Animator (FlicLib)","","","fli,"
"x-fmt/154","AutoDesk FLIC Animation","","","fli,"
"fmt/872","Free Lossless Image Format (FLIF)","","","flif,"
"fmt/1784","Animatic Film Format","","","flm,"
"x-fmt/155","AutoCAD Film Roll","","","flm,"
"fmt/1289","RFFlow Chart","3","","flo,"
"fmt/1290","RFFlow Chart","4","","flo,"
"fmt/1291","RFFlow Chart","5","","flo,"
"fmt/733","FL Studio project file (FLP)","","","flp,"
"fmt/1785","FLR Database File","","","flr,"
"fmt/1397","FARO Laser Scan File","","","fls,"
"x-fmt/382","Macromedia FLV","1","","flv,"
"fmt/533","Adobe FrameMaker Document","2.0","","fm,"
"fmt/534","Adobe FrameMaker Document","3.0","","fm,"
"fmt/535","Adobe FrameMaker Document","4.0","","fm,"
"fmt/190","Adobe FrameMaker Document","5.0","","fm,"
"fmt/536","Adobe FrameMaker Document","5.5","","fm,"
"fmt/537","Adobe FrameMaker Document","6.0","","fm,"
"fmt/538","Adobe FrameMaker Document","7.0","","fm,"
"x-fmt/302","Adobe FrameMaker Document","8.0","","fm,"
"fmt/539","Adobe FrameMaker Document","9.0","","fm,"
"fmt/1059","FileMaker Pro Database","2","","fm,"
"x-fmt/331","Lotus 1-2-3 Spreadsheet Formatting File","2.3-2.4","","fm1,fmt,"
"x-fmt/332","Lotus 1-2-3 Spreadsheet Formatting File","3.0","","fm3,"
"x-fmt/54","AutoCAD Font Mapping Table","","","fmp,"
"fmt/1237","FileMaker Pro Database","12","","fmp12,"
"x-fmt/55","Frame Vector Metafile","","","fmv,"
"x-fmt/442","form*Z Project File","","","fmz,"
"fmt/1779","Dynamic Publisher Font File","","","fnt,"
"fmt/1241","FO File","","","fo,"
"fmt/1284","PFS:First Choice Database","","","fol,"
"fmt/1810","Raw PIMA SWIR Reflectance Spectral File","","","fos,"
"fmt/1396","FinePrint","","","fp,"
"x-fmt/318","FileMaker Pro Database","3","","fp3,fmp,fp,fm,"
"x-fmt/319","FileMaker Pro Database","5","","fp5,fmp,fp,fm,"
"fmt/194","FileMaker Pro Database","7+","","fp7,"
"x-fmt/342","Microsoft FoxPro Memo","","","fpt,frt,vct,pjt,"
"x-fmt/56","Kodak FlashPix Image","","","fpx,"
"fmt/1173","FrameMD5","","","framemd5,md5,"
"fmt/1860","dBASE Report Form Definition File","IV","","frm,"
"fmt/868","MySQL Table Definition Format","","","frm,"
"fmt/1542","Visual Basic Form File","3 or earlier","","frm,"
"fmt/1541","Visual Basic Form File","4 onwards","","frm,"
"fmt/376","FoxPro Report","","","frx,"
"fmt/377","Microsoft Visual FoxPro Report","","","frx,"
"fmt/1590","Visual Basic Binary Form File","","","frx,"
"fmt/1352","FamilyTree Maker Database","1-4","","ftw,fbk,"
"fmt/1353","FamilyTree Maker Database","5-16","","ftw,fbk,"
"fmt/1786","Funpaint Image File","","","fun,fp2,vic,"
"x-fmt/321","Framework Database","II","","fw,fw2,"
"x-fmt/322","Framework Database","III","","fw3,"
"x-fmt/323","Framework Database","IV","","fw4,"
"fmt/1398","FARO WorkSpace File","","","fws,"
"fmt/821","G64 GCR-encoded Disk Image Format","","","g41,g64,g71,"
"fmt/1787","G9B Graphics Format Bitmap","","","g9b,"
"fmt/1770","GenBank Flat File","","","gb,gbk,"
"fmt/664","Gerber Format","","","gbr,"
"fmt/1774","602 Graph/Chart File","","","gc6,"
"fmt/1699","602 Graph/Chart File","1.51","","gc6,"
"x-fmt/328","InterBase Database","","","gdb,"
"fmt/1458","Arts & Letters Graphics File","","","ged,"
"fmt/851","Genealogical Data Communication (GEDCOM) Format","","","ged,"
"x-fmt/215","GEM Metafile Format","1.00","","gem,"
"fmt/542","GEM Metafile Format","1.01","","gem,"
"fmt/543","GEM Metafile Format","3.10","","gem,"
"x-fmt/57","Ventura Publisher Vector Graphics","","","gem,"
"x-fmt/156","Ventura Publisher","","","gen,"
"fmt/618","GeoGebra","1.0","","geo,"
"fmt/1367","GeoJSON","","","geojson,"
"fmt/1408","Flow Charting","4","","gfc,"
"fmt/1412","Flow Charting Graphic Flowcharting Image","","","gfi,"
"fmt/1048","OGR GFS File","","","gfs,"
"fmt/619","GeoGebra","1.x","","ggb,"
"fmt/617","GeoGebra","2","","ggb,"
"fmt/620","GeoGebra","3","","ggb,"
"fmt/621","GeoGebra","4","","ggb,"
"fmt/622","GeoGebra","5","","ggb,"
"fmt/3","Graphics Interchange Format","87a","","gif,"
"fmt/4","Graphics Interchange Format","89a","","gif,"
"fmt/195","ERDAS IMAGINE Gray-scale Bitmap Image","","","gis,"
"fmt/894","Gaussian Input Data File","","","gjf,"
"fmt/1316","GL Transmission Format (Binary)","","","glb,"
"fmt/1314","GL Transmission Format (Text)","1.x","","gltf,"
"fmt/1315","GL Transmission Format (Text)","2.x","","gltf,"
"fmt/1689","Microsoft Word for MS-DOS Glossary File","Generic","","gly,"
"x-fmt/227","Geography Markup Language","","","gml,"
"fmt/1047","Geography Markup Language","3.2","","gml,"
"fmt/1679","Garmin track log file","","","gmn,"
"fmt/1219","Gnumeric","","","gnumeric,"
"fmt/1873","Guitar Pro File","2-5","","gp3,gp4,gp5,"
"fmt/1700","OGC GeoPackage","1.0-1.31","","gpkg,"
"fmt/1844","GNU Image Manipulation Program Palette File","","","gpl,"
"fmt/1849","General Purpose RAW","","","gpr,"
"fmt/243","GPS Exchange Format","1.0","","gpx,"
"fmt/1134","GPS Exchange Format","1.1","","gpx,"
"fmt/1285","PFS:First Choice Graph","","","gra,"
"fmt/284","Gridded Binary","1.0","","grb,wmo,"
"fmt/285","Gridded Binary","2.0","","grb,wmo,"
"fmt/1073","Google Document Link File","","","gslides,gdoc,gsheet,gdraw,gmap,gsite,gform,"
"fmt/1872","Guitar Pro File","1","","gtp,"
"fmt/1788","Gunpaint Image File","","","gun,"
"fmt/1789","GX2 Graphics File","","","gx2,ega,"
"x-fmt/266","GZIP Format","","","gz,z,"
"fmt/1735","C/C++ Header File","","","h,hpp,hxx,"
"fmt/807","HDF5","0","","h5,hdf,hdf5,nc,"
"fmt/361","pulse EKKO header file","","","hd,"
"fmt/1041","HDF","1-4","","hdf,h4,"
"fmt/286","HDF5","1","","hdf,h5,hdf5,nc,"
"fmt/287","HDF5","2","","hdf5,h5,hdf,nc,"
"fmt/1692","ESRI ArcGIS Raw Raster Reader/ Writer","","","hdr,"
"fmt/591","Radiance RGBE Image Format","","","hdr,pic,rgbe,xyze,"
"fmt/1101","High Efficiency Image File Format","","","heic,"
"fmt/1549","Bentley Microstation Hidden Line File","","","hln,"
"fmt/474","Windows Help File","","","hlp,"
"fmt/1790","Help Librarian File","","","hlp,dat,dta,"
"fmt/426","Harris Matrix","","","hm,"
"fmt/1843","Human Machine Interfaces HMI File","","","hmi,"
"x-fmt/293","Hewlett Packard Graphics Language","","","hpgl,"
"x-fmt/416","BinHex Binary Text","","","hqx,"
"fmt/886","HTML Components","","","htc,"
"fmt/103","Extensible Hypertext Markup Language","1.1","","htm,html,"
"fmt/96","Hypertext Markup Language","","","htm,html,"
"fmt/97","Hypertext Markup Language","2.0","","htm,html,"
